datetime,temp,humidity,weather
2025-08-24 21:00:00,28.33,57,broken clouds
2025-08-25 00:00:00,27.33,58,broken clouds
2025-08-25 03:00:00,25.92,63,broken clouds
2025-08-25 06:00:00,22.91,56,scattered clouds
2025-08-25 09:00:00,21.15,61,broken clouds
2025-08-25 12:00:00,19.71,58,scattered clouds
2025-08-25 15:00:00,26.01,34,clear sky
2025-08-25 18:00:00,29.36,22,clear sky
2025-08-25 21:00:00,29.51,21,few clouds
2025-08-26 00:00:00,26.25,27,scattered clouds
2025-08-26 03:00:00,22.51,43,broken clouds
2025-08-26 06:00:00,20.7,49,broken clouds
2025-08-26 09:00:00,19.08,54,few clouds
2025-08-26 12:00:00,18.52,53,scattered clouds
2025-08-26 15:00:00,24.56,31,broken clouds
2025-08-26 18:00:00,28.41,21,overcast clouds
2025-08-26 21:00:00,27.57,21,overcast clouds
2025-08-27 00:00:00,24.6,29,overcast clouds
2025-08-27 03:00:00,22.39,38,overcast clouds
2025-08-27 06:00:00,20.41,42,broken clouds
2025-08-27 09:00:00,19.28,42,scattered clouds
2025-08-27 12:00:00,18.53,46,few clouds
2025-08-27 15:00:00,24.83,27,clear sky
2025-08-27 18:00:00,29.05,20,clear sky
2025-08-27 21:00:00,29.72,17,clear sky
2025-08-28 00:00:00,25.95,25,clear sky
2025-08-28 03:00:00,23.36,33,scattered clouds
2025-08-28 06:00:00,21.54,37,broken clouds
2025-08-28 09:00:00,20.22,43,overcast clouds
2025-08-28 12:00:00,19.46,50,overcast clouds
2025-08-28 15:00:00,24.58,39,overcast clouds
2025-08-28 18:00:00,28.52,29,overcast clouds
2025-08-28 21:00:00,27.6,28,overcast clouds
2025-08-29 00:00:00,24.4,45,overcast clouds
2025-08-29 03:00:00,22.28,55,overcast clouds
2025-08-29 06:00:00,20.62,61,broken clouds
2025-08-29 09:00:00,19.31,66,clear sky
2025-08-29 12:00:00,19.28,65,clear sky
2025-08-29 15:00:00,25.39,45,clear sky
2025-08-29 18:00:00,29.94,26,clear sky
