datetime,temp,humidity,weather
2025-08-24 21:00:00,25.83,91,light rain
2025-08-25 00:00:00,25.76,92,light rain
2025-08-25 03:00:00,28.32,78,light rain
2025-08-25 06:00:00,32.2,61,light rain
2025-08-25 09:00:00,32.28,59,light rain
2025-08-25 12:00:00,30.02,70,light rain
2025-08-25 15:00:00,28.36,78,overcast clouds
2025-08-25 18:00:00,27.38,85,light rain
2025-08-25 21:00:00,26.67,88,broken clouds
2025-08-26 00:00:00,26.36,90,broken clouds
2025-08-26 03:00:00,30.24,69,overcast clouds
2025-08-26 06:00:00,33.72,52,overcast clouds
2025-08-26 09:00:00,34.03,53,broken clouds
2025-08-26 12:00:00,31.54,64,broken clouds
2025-08-26 15:00:00,29.57,72,broken clouds
2025-08-26 18:00:00,27.89,80,light rain
2025-08-26 21:00:00,27.05,82,overcast clouds
2025-08-27 00:00:00,26.65,85,broken clouds
2025-08-27 03:00:00,30.36,66,overcast clouds
2025-08-27 06:00:00,32.52,57,overcast clouds
2025-08-27 09:00:00,33.05,56,overcast clouds
2025-08-27 12:00:00,30.14,68,overcast clouds
2025-08-27 15:00:00,28.65,77,light rain
2025-08-27 18:00:00,27.59,83,overcast clouds
2025-08-27 21:00:00,26.91,86,overcast clouds
2025-08-28 00:00:00,26.71,87,overcast clouds
2025-08-28 03:00:00,30.75,67,scattered clouds
2025-08-28 06:00:00,32.46,61,light rain
2025-08-28 09:00:00,32.61,60,light rain
2025-08-28 12:00:00,30.13,70,light rain
2025-08-28 15:00:00,28.43,77,overcast clouds
2025-08-28 18:00:00,27.6,82,overcast clouds
2025-08-28 21:00:00,26.69,86,overcast clouds
2025-08-29 00:00:00,26.05,87,overcast clouds
2025-08-29 03:00:00,29.04,75,light rain
2025-08-29 06:00:00,30.2,71,light rain
2025-08-29 09:00:00,30.05,71,light rain
2025-08-29 12:00:00,28.22,80,light rain
2025-08-29 15:00:00,26.41,86,overcast clouds
2025-08-29 18:00:00,26.44,88,light rain
