datetime,temp,humidity,weather
2025-08-24 21:00:00,18.5,50,overcast clouds
2025-08-25 00:00:00,17.37,52,overcast clouds
2025-08-25 03:00:00,14.26,60,overcast clouds
2025-08-25 06:00:00,12.74,64,overcast clouds
2025-08-25 09:00:00,24.95,31,broken clouds
2025-08-25 12:00:00,27.85,25,scattered clouds
2025-08-25 15:00:00,28.19,24,scattered clouds
2025-08-25 18:00:00,26.0,27,few clouds
2025-08-25 21:00:00,21.69,32,clear sky
2025-08-26 00:00:00,19.81,37,scattered clouds
2025-08-26 03:00:00,18.78,44,overcast clouds
2025-08-26 06:00:00,17.7,51,overcast clouds
2025-08-26 09:00:00,21.44,65,overcast clouds
2025-08-26 12:00:00,25.41,33,broken clouds
2025-08-26 15:00:00,26.28,31,overcast clouds
2025-08-26 18:00:00,22.29,49,overcast clouds
2025-08-26 21:00:00,18.79,64,overcast clouds
2025-08-27 00:00:00,16.82,70,broken clouds
2025-08-27 03:00:00,15.84,77,scattered clouds
2025-08-27 06:00:00,16.02,80,broken clouds
2025-08-27 09:00:00,20.04,60,overcast clouds
2025-08-27 12:00:00,22.29,47,light rain
2025-08-27 15:00:00,20.47,65,light rain
2025-08-27 18:00:00,18.02,70,light rain
2025-08-27 21:00:00,16.75,78,scattered clouds
2025-08-28 00:00:00,15.62,82,few clouds
2025-08-28 03:00:00,14.53,85,clear sky
2025-08-28 06:00:00,13.86,82,clear sky
2025-08-28 09:00:00,18.09,58,scattered clouds
2025-08-28 12:00:00,20.08,46,broken clouds
2025-08-28 15:00:00,21.05,47,overcast clouds
2025-08-28 18:00:00,19.28,56,overcast clouds
2025-08-28 21:00:00,16.66,75,light rain
2025-08-29 00:00:00,15.78,82,light rain
2025-08-29 03:00:00,14.8,88,light rain
2025-08-29 06:00:00,14.55,89,light rain
2025-08-29 09:00:00,17.91,66,broken clouds
2025-08-29 12:00:00,19.51,58,light rain
2025-08-29 15:00:00,20.18,52,light rain
2025-08-29 18:00:00,19.55,50,light rain
